rating,draft_year,draft_round,draft_peak,height_cm,version_split,p_age,weight_kg,salary_usd,team_Lencoded,position_Lencoded
74,2015,2,46,191.0,2020,27,97.5,10116576.0,28,5
74,2017,2,35,208.0,2020,23,99.8,451326.0,9,3
74,2014,2,40,198.0,2020,26,95.7,1882867.0,10,2
74,2016,1,14,193.0,2020,27,95.3,3377568.0,4,5
74,2018,1,27,202.99999999999997,2020,23,107.5,1937520.0,1,3
74,2015,0,0,208.0,2020,25,98.0,1645357.0,8,2
74,2019,1,8,211.0,2020,120,99.8,4862040.0,19,3
74,2019,1,9,202.99999999999997,2020,22,102.1,4469160.0,30,2
73,2017,1,23,200.99999999999997,2020,23,105.2,2281800.0,28,4
73,2017,2,40,198.0,2020,25,99.8,1618520.0,3,5
73,2016,1,21,196.0,2020,26,93.9,2603981.0,0,2
73,2017,2,36,202.99999999999997,2020,24,97.5,1788296.0,24,2
73,2017,2,46,196.0,2020,25,104.3,1618520.0,17,5
73,2018,2,42,193.0,2020,24,86.2,1416852.0,8,5
73,2018,1,15,198.0,2020,21,97.5,3219480.0,30,4
73,2011,1,12,198.0,2020,29,88.5,2320044.0,23,5
73,2016,0,0,196.0,2020,26,84.4,2750000.0,14,5
73,2001,1,2,213.0,2020,38,106.6,2564753.0,11,0
73,2013,2,31,196.0,2020,28,89.4,17818456.0,9,6
73,2013,0,0,191.0,2020,30,86.2,9607500.0,5,5
73,2013,2,50,198.0,2020,30,91.2,1882867.0,22,2
73,2016,0,0,200.99999999999997,2020,27,96.6,4000000.0,6,2
73,2016,0,0,200.99999999999997,2020,27,86.2,1620564.0,4,5
73,2018,1,23,183.0,2020,24,83.9,2239200.0,12,5
73,2016,0,0,198.0,2020,27,99.8,3540000.0,11,2
73,2015,1,8,198.0,2020,24,109.8,3623000.0,28,2
73,2015,1,24,183.0,2020,24,83.9,10116000.0,15,5
73,2016,1,26,200.99999999999997,2020,23,83.9,1620564.0,23,2
73,2005,1,28,211.0,2020,34,104.3,15450051.0,30,0
73,2005,2,34,198.0,2020,33,105.2,8730158.0,9,6
73,2013,2,44,208.0,2020,29,104.3,2028594.0,21,3
73,2017,1,8,193.0,2020,22,86.2,4855800.0,20,5
73,2016,0,0,196.0,2020,27,95.3,2581965.0,11,5
73,2015,0,0,193.0,2020,27,102.5,1618520.0,29,2
73,2017,2,37,198.0,2020,26,106.6,1618520.0,1,2
73,2018,1,20,193.0,2020,22,96.6,2530680.0,18,5
73,2012,0,0,198.0,2020,31,88.5,1000000.0,9,6
73,2010,0,0,183.0,2020,32,79.4,6000000.0,30,5
73,2013,1,20,198.0,2020,29,89.8,11392857.0,8,2
73,2018,1,30,202.99999999999997,2020,23,111.1,1897800.0,18,2
73,2009,0,0,196.0,2020,34,88.5,4767000.0,2,6
73,2010,1,2,198.0,2020,32,93.0,18606556.0,18,6
73,2018,1,18,196.0,2020,22,92.5,2764200.0,27,5
73,2011,0,0,191.0,2020,31,95.3,1445697.0,1,5
73,2016,1,23,208.0,2020,23,113.4,2281800.0,5,0
